ID,Case Number,Place,PlaceID,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic
13512915,JH327310,Chaplin,53,026XX S HARDING AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True
13513682,JH327021,Farmington,23,005XX E 77TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,True
13511302,JH324958,Killingworth,33,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False
13511005,JH325148,Killingly,13,031XX N BROADWAY,0890,THEFT,FROM BUILDING,RESTAURANT,False,False
13510545,JH324461,Canaan,35,049XX W QUINCY ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,False,False
13512793,JH327062,Madison,36,013XX W 110TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True
13512027,JH326200,Naugatuck,58,025XX W CERMAK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False
13515322,JH330249,Brooklyn,71,082XX S CRANDON AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False
13516578,JH330777,Branford,11,020XX E 72ND ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13513188,JH327764,Griswold,4,004XX W 37TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13512134,JH326460,Bethlehem,12,082XX S STONY ISLAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False
13511631,JH325627,Lebanon,27,003XX N DESPLAINES ST,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False
13512521,JH326885,Lyme,42,012XX S TROY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,True
13511349,JH325161,Goshen,84,018XX S MILLARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False
13511981,JH326298,Bloomfield,6,005XX W BELDEN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False
13516141,JH324439,Clinton,64,079XX S BISHOP ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13512958,JH327429,New Canaan,66,025XX W FOSTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False
13510728,JH324641,Naugatuck,58,053XX N LUNA AVE,0810,THEFT,OVER $500,STREET,False,False
13514149,JH328812,Chaplin,53,039XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,OTHER (SPECIFY),False,False
13516720,JH327863,Preston,78,079XX S DREXEL AVE,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,APARTMENT,False,True
13511789,JH325866,Kent,10,037XX W CORNELIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True
13513436,JH327900,Canterbury,70,034XX W LAWRENCE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,BANK,False,False
13510298,JH323809,New Canaan,66,009XX N CALIFORNIA AVE,0560,ASSAULT,SIMPLE,SIDEWALK,False,False
13515491,JH330567,Farmington,23,035XX N HALSTED ST,0810,THEFT,OVER $500,STREET,False,False
