PlaceID,PlaceName
1,Groton
2,Greenwich
3,East Windsor
4,Griswold
5,Manchester
6,Bloomfield
7,Darien
8,East Lyme
9,Bristol
10,Kent
11,Branford
12,Bethlehem
13,Killingly
14,East Granby
15,Cheshire
16,Hartford
17,East Haven
18,Brookfield
19,Burlington
20,Avon
21,Guilford
22,Eastford
23,Farmington
24,Berlin
25,Beacon Falls
26,Ansonia
27,Lebanon
28,Bethel
29,Canton
30,East Hartford
31,Danbury
32,Meriden
33,Killingworth
34,Glastonbury
35,Canaan
36,Madison
37,Colchester
38,Bethany
39,Enfield
40,Essex
41,Mansfield
42,Lyme
43,Bozrah
44,Cromwell
45,Bridgeport
46,Derby
47,Hebron
48,Coventry
49,East Haddam
50,Easton
51,Bridgewater
52,Fairfield
53,Chaplin
54,Deep River
55,Haddam
56,New Britain
57,Hamden
58,Naugatuck
59,Litchfield
60,Middletown
61,Plainfield
62,Marlborough
63,Ellington
64,Clinton
65,Ridgefield
66,New Canaan
67,Monroe
68,Ledyard
69,New Fairfield
70,Canterbury
71,Brooklyn
72,Norwich
73,Stamford
74,Hampton
75,Morris
76,Colebrook
77,Bolton
78,Preston
79,Barkhamsted
80,East Hampton
81,Granby
82,New London
83,Chester
84,Goshen
