Serial Number,List Year,Place,PlaceID,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,PropertyTypeID,Residential Type
200598,2020,Groton,1,62 SOUND BREEZE AVE,328020,635000,0.52,Vacant Land,1,Single Family
200911,2020,Greenwich,2,1525 EAST PUTNAM AVENUE UN409,183820,290000,0.63,Residential,2,Condo
200137,2020,East Windsor,3,15B REGGIE WAY,149630,249900,0.6,Residential,2,Condo
201254,2020,Griswold,4,61 SOUTH MAIN ST UNIT 105,87500,165000,0.53,Commercial,3,Condo
200040,2020,Manchester,5,269 PARKER STREET,113200,220000,0.51,Commercial,3,Single Family
2000225,2020,Bloomfield,6,78 ADAMS ROAD,164430,308000,0.53,Commercial,3,Single Family
201786,2020,Greenwich,2,43 LAFRENTZ ROAD,1069740,3450000,0.31,Vacant Land,1,Single Family
20044,2020,Darien,7,37 OLD PARISH ROAD,1053360,1525000,0.69,Vacant Land,1,Single Family
200477,2020,East Lyme,8,10 STONECLIFFE DR,198100,350000,0.57,Commercial,3,Single Family
200269,2020,East Lyme,8,46 CRESCENT AVE,175630,469000,0.37,Residential,2,Single Family
201076,2020,Bristol,9,351 MATTHEWS ST,318780,540000,0.59,Commercial,3,Single Family
200058,2020,Kent,10,128B SEGAR MOUNTAIN RD,273400,650000,0.42,Commercial,3,Single Family
200293,2020,Branford,11,20 KELLYCREST RD,226000,405000,0.56,Residential,2,Single Family
200031,2020,Bethlehem,12,15 TULIP TREE LANE,207000,335000,0.62,Vacant Land,1,Condo
200331,2020,Killingly,13,3056 DAVID AVE,161910,200000,0.81,Residential,2,Single Family
200061,2020,Bristol,9,161 GRIDLEY ST,75530,90600,0.83,Residential,2,Single Family
200209,2020,East Lyme,8,468R BOSTON POST RD,305550,470000,0.65,Commercial,3,Single Family
200083,2020,East Granby,14,28 BRIGHTON DRIVE,309200,316000,0.98,Residential,2,Single Family
2000125,2020,Bloomfield,6,54 VISTA WAY,239120,60000,3.99,Vacant Land,1,Condo
200520,2020,East Lyme,8,215 UPPER PATTAGANSETT RD,237720,389900,0.61,Residential,2,Single Family
2000476,2020,Cheshire,15,218 WOODPOND RD,265100,492000,0.54,Commercial,3,Single Family
20829,2020,Hartford,16,4 PARK TER,75915,251000,0.3,Commercial,3,Single Family
200327,2020,East Haven,17,1 TALMADGE AVE,121430,230000,0.53,Commercial,3,Single Family
